,﻿id,name,gender,yearOfBirth,gender_binary
229,725,"Belcher, George",Male,1875.0,0
230,11822,"Belhaj-Kacem, Mehdi",Male,1973.0,0
231,726,"Bell, Graham",Male,1910.0,0
232,32,"Bell, John Zephaniah",Male,1794.0,0
233,727,"Bell, Larry",Male,1939.0,0
234,728,"Bell, Laura Anning",Female,1867.0,1
235,729,"Bell, Robert Anning",Male,1863.0,0
236,730,"Bell, Trevor",Male,1930.0,0
237,731,"Bell, Vanessa",Female,1879.0,1
238,732,"Bellany, John",Male,1942.0,0
239,733,"Bellegarde, Claude",Male,1927.0,0
240,735,"Bellingham-Smith, Elinor",Female,1906.0,1
241,736,"Bellmer, Hans",Male,1902.0,0
243,2549,"Benazech, Peter Paul",Male,1744.0,0
245,7290,"Benglis, Lynda",Female,1941.0,1
246,737,"Benjamin, Anthony",Male,1931.0,0
247,33,"Bennett, William",Male,1811.0,0
248,738,"Benois, Alexander",Male,1870.0,0
249,739,"Benois, Nadia",Female,1896.0,1
250,2240,"Benrath, Frédéric",Male,1930.0,0
251,740,"Benson, Abraham Harris",Male,1878.0,0
252,741,"Béraud, Jean",Male,1849.0,0
253,742,"Berber, Mersad",Male,1940.0,0
254,743,"Berg, Adrian",Male,1929.0,01
257,744,"Berman, Eugène",Male,1899.0,0
258,745,"Bernik, Janez",Male,1933.0,0
259,746,"Berry, John",Male,1925.0,0
260,2234,"Berthot, Jake",Male,1939.0,0
261,34,"Bettes, John",Male,1531.0,0
262,747,"Beuys, Joseph",Male,1921.0,0
263,748,"Bevan, Robert",Male,1865.0,0
264,2371,"Bevan, Tony",Male,1951.0,0
265,35,"Bewick, Thomas",Male,1753.0,0
266,5469,"Bhimji, Zarina",Female,1963.0,1
267,749,"Bicât, André",Male,1909.0,0
268,2296,"Bickerton, Ashley",Male,1959.0,0
269,750,"Biederman, Charles",Male,1906.0,0
270,15999,"Biermann, Aenne",Female,1893.0,1
271,1658,"Bigge, John",Male,1892.0,0
272,12110,"Bill, Simon",Male,1958.0,0
273,2749,"Billingham, Richard",Male,1970.0,0
274,751,"Binning, Bertram",Male,1909.0,0
275,752,"Bionda, Mario",Male,1913.0,0
276,753,"Birch, Samuel John Lamorna",Male,1869.0,0
277,36,"Bird, Edward",Male,1762.0,0
278,754,"Bird, John",Male,1945.0,0
279,16782,"Birdhead (Ji Weiyu, born 1980; Song Tao, born 1979)",Male,2004.0,0
280,755,"Bishop, Henry",Male,1868.0,0
281,756,"Bissier, Julius",Male,1893.0,0
282,757,"Bissière, Roger",Male,1886.0,0
283,758,"Bissill, George",Male,1896.0,0
284,6500,"Bjørlo, Per Inge",Male,1952.0,0
286,11563,"Black, Karla",Female,1972.0,1
288,760,"Blackadder, Elizabeth",Female,1931.0,1
289,761,"Blacker, Kate",Female,1955.0,1
290,2245,"Blais, Jean-Charles",Male,1956.0,0
291,37,"Blake, Benjamin",Male,1790.0,0
292,762,"Blake, John",Male,1945.0,0
293,763,"Blake, Peter",Male,1932.0,0
294,38,"Blake, Robert",Male,1762.0,0
295,39,"Blake, William",Male,1757.0,0
296,764,"Blamey, Norman",Male,1914.0,0
297,765,"Blanche, Jacques-Emile",Male,1861.0,0
298,766,"Bland, Beatrice",Female,1864.0,1
299,767,"Blaymires, Charles Henry",Male,1908.0,0
